DBMS,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,REFERENCED_TABLE_SCHEMA,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
snowflake,SNOWCORE_INDUSTRIES,ATOMIC,ACTUAL_FINANCIAL_RESULT,ACTUAL_FINANCIAL_RESULT_ID,1,"NUMBER(38,0)",,PRIMARY KEY,,,
snowflake,SNOWCORE_INDUSTRIES,ATOMIC,ACTUAL_FINANCIAL_RESULT,FISCAL_YEAR,2,"NUMBER(38,0)",,UNIQUE,,,
snowflake,SNOWCORE_INDUSTRIES,ATOMIC,ACTUAL_FINANCIAL_RESULT,FISCAL_PERIOD,3,TEXT,20,UNIQUE,,,
snowflake,SNOWCORE_INDUSTRIES,ATOMIC,ACTUAL_FINANCIAL_RESULT,GENERAL_LEDGER_ACCOUNT_ID,4,"NUMBER(38,0)",,FOREIGN KEY,ATOMIC,GENERAL_LEDGER_ACCOUNT,GENERAL_LEDGER_ACCOUNT_ID
snowflake,SNOWCORE_INDUSTRIES,ATOMIC,ACTUAL_FINANCIAL_RESULT,COST_CENTER_ID,5,"NUMBER(38,0)",,FOREIGN KEY,ATOMIC,COST_CENTER,COST_CENTER_ID
snowflake,SNOWCORE_INDUSTRIES,ATOMIC,ACTUAL_FINANCIAL_RESULT,PROJECT_ID,6,"NUMBER(38,0)",,FOREIGN KEY,ATOMIC,PROJECT,PROJECT_ID
snowflake,SNOWCORE_INDUSTRIES,ATOMIC,ACTUAL_FINANCIAL_RESULT,ACTUAL_AMOUNT,7,"NUMBER(18,2)",,,,,
snowflake,SNOWCORE_INDUSTRIES,ATOMIC,ACTUAL_FINANCIAL_RESULT,CURRENCY_ID,8,"NUMBER(38,0)",,FOREIGN KEY,ATOMIC,CURRENCY,CURRENCY_ID
snowflake,SNOWCORE_INDUSTRIES,ATOMIC,ASSET,ASSET_ID,1,"NUMBER(38,0)",,PRIMARY KEY,,,
snowflake,SNOWCORE_INDUSTRIES,ATOMIC,ASSET,ASSET_CODE,2,TEXT,100,UNIQUE,,,
snowflake,SNOWCORE_INDUSTRIES,ATOMIC,ASSET,ASSET_NAME,3,TEXT,200,,,,
snowflake,SNOWCORE_INDUSTRIES,ATOMIC,ASSET,ASSET_DESCRIPTION,4,TEXT,1000,,,,
snowflake,SNOWCORE_INDUSTRIES,ATOMIC,ASSET,ASSET_TYPE,5,TEXT,50,,,,
